id,category,title,price,sku,description,specs,images
akvilon-d-21200-61b18a1d,АВД с подогревом,Аппарат высокого давления AKVILON D 21200 с подогревом воды,0,,"от 20 до 200 бар. Рабочая температура нагрева воды: 75 градусов Цельсия. Функция задержки воспламенения топлива на 5 секунд (для набора рабочего давления). Индикаторы сети, работы АВД и аварийный индикатор. Компания предоставляет консультации по всем интересующим Вас вопросам! Качественный сервис и быстрая работа! Будем рады сотрудничеству! Доставка по всему миру!","Производитель: ность, (л/ч) 1260; Рабочее давление: (бар) 200 Топливный бак, (л) 20 Потребляемая мощность, (кВт) 7.5 Расход топлива, (кг/ч) 5/4; Температура: (°C) 75 Масса, (кг) 220 Размеры ДхШхВ, (мм) 1200x800x1100 Аппарат высокого давления AKVILON D 21/200 с подогревом воды Профессиональный трехфазный АВД экстра-класса российского производства оснащен дизельным бойлером внутреннего сгорания для нагрева воды. Управление аппаратом интуитивно понятно: достаточно повернуть одну рукоятку на передней панели корпуса, чтобы переключиться между режимами работы. Большие промышленные колеса на пневматике обеспечивают отличную маневренность на любой поверхности. Возможность регулировки мощности и производительности позволяет использовать аппарат в самых разных клининговых задачах. Аппараты высокого давления с подогревом воды эффективно удаляют жир, масла и другие загрязнения благодаря горячей воде. Она размягчает и растворяет даже самые стойкие пятна, что значительно упрощает процесс очистки. Ключевые особенности В этой модели вода нагревается с помощью дизельного бойлера внутреннего сгорания. Аппарат оснащен системой контроля температуры выхлопных газов, защитой от сухого хода и аварийным клапаном от скачка давления. Моечный аппарат высокого давления серии «AKVILON D 21/200» — надежное решение для нагрева воды от российского производителя! Преимущества АВД AKVILON D 21.200 с подогревом: Барабан из нержавеющей стали для шланга высокого давления длиной до 100 м. Приспособление для хранения кабеля и струйных трубок, пенных насадок. Пластиковый бак для топлива объемом 20 литров с поплавковым датчиком, отключающим топливный насос при недостатке топлива. Топливный фильтр. Профессиональная группа безопасности для дизельного блока подогрева воды: герконовый датчик, дублирующий микровыключатель на отсутствие давления в системе, датчик температуры и аварийный клапан избыточного давления. Возможность нагрева воды до состояния пара. Большие надежные колеса на подшипниках.; Производитель: ность: 21 литр в минуту.; Рабочее давление: от 20 до 200 бар. Рабочая температура нагрева воды: 75 градусов Цельсия. Функция задержки воспламенения топлива на 5 секунд (для набора рабочего давления). Индикаторы сети, работы АВД и аварийный индикатор. Компания Аквилон предоставляет консультации по всем интересующим Вас вопросам! Качественный сервис и быстрая работа! Будем рады сотрудничеству! Доставка по всему миру! 358 000",assets/products/akvilon-d-21200-61b18a1d/akvilon-d-21200-1.jpg|assets/products/akvilon-d-21200-61b18a1d/akvilon-d-21200-2.jpg|assets/products/akvilon-d-21200-61b18a1d/akvilon-d-21200-3.jpg|assets/products/akvilon-d-21200-61b18a1d/akvilon-d-21200-4.jpg
akvilon-s-15200-6ddf5340,АВД с подогревом,Аппарат высокого давления AKVILON S 15200 с подогревом воды,0,,"бар. Рабочая температура воды 85°C. Функция задержки воспламенения топлива на 5 секунд для набора рабочего давления. Индикаторы сети, работы аппарата и аварийный индикатор. Компания предоставляет консультации по всем интересующим Вас вопросам! Качественный сервис и быстрая работа! Будем рады сотрудничеству! Доставка по всему миру!","Производитель: ность, (л/ч) 900; Рабочее давление: (бар) 200 Топливный бак, (л) 20 Потребляемая мощность, (кВт) 5.5 Расход топлива, (кг/ч) 5/4; Температура: (°C) 75 Масса, (кг) 180 Размеры ДхШхВ, (мм) 1300x800x1000 Аппарат высокого давления AKVILON S 15/200 с подогревом воды Профессиональный трехфазный аппарат высокого давления (АВД) экстра-класса от российского производителя. Вода нагревается с помощью дизельного бойлера внутреннего сгорания. Управление простое: одной рукояткой на передней панели переключаются рабочие режимы. Большие промышленные колеса обеспечивают маневренность на любой поверхности. Аппарат можно настроить под разные задачи, что делает его универсальным и востребованным в клининговых компаниях. Главное преимущество АВД с подогревом воды — эффективное удаление загрязнений. Горячая вода растворяет жир, масла и затвердевшие пятна, ускоряя процесс очистки. Особенности В этой модели вода нагревается дизельным бойлером. Для безопасности установлены система контроля температуры выхлопных газов, защита от сухого хода и аварийный клапан давления. AKVILON S 15/200 — профессиональные АВД с подогревом воды от российского производителя. Преимущества: Барабан для шланга высокого давления 2SN8 длиной до 100 м из нержавеющей стали. Приспособление для хранения кабеля, струйных трубок и пенных насадок. Пластиковый бак для топлива объемом 20 л с поплавковым датчиком отключения насоса при нехватке топлива. Топливный фильтр. Группа безопасности на дизельный блок подогрева воды. Возможность нагрева воды до состояния пара при снижении давления до 100 бар. Большие надежные колеса.; Производитель: ность 15 л/мин.; Рабочее давление: 200 бар. Рабочая температура воды 85°C. Функция задержки воспламенения топлива на 5 секунд для набора рабочего давления. Индикаторы сети, работы аппарата и аварийный индикатор. Компания Аквилон предоставляет консультации по всем интересующим Вас вопросам! Качественный сервис и быстрая работа! Будем рады сотрудничеству! Доставка по всему миру! 261 000р",assets/products/akvilon-s-15200-6ddf5340/akvilon-s-15200-1.jpg|assets/products/akvilon-s-15200-6ddf5340/akvilon-s-15200-2.png|assets/products/akvilon-s-15200-6ddf5340/akvilon-s-15200-3.png|assets/products/akvilon-s-15200-6ddf5340/akvilon-s-15200-4.jpg
akvilon-s14120-220-4ffb4fee,АВД с подогревом,Аппарат высокого давления AKVILON S14120 с подогревом воды на 220Вт,0,,"от 20 до 120 бар. Рабочая температура нагрева: 75 °C. Функция задержки воспламенения топлива на 5 секунд (для набора рабочего давления). Индикаторы сети, работы аппарата и аварийный индикатор. Компания предоставляет консультации по всем интересующим Вас вопросам! Качественный сервис и быстрая работа! Будем рады сотрудничеству! Доставка по всему миру!","Производитель: ность, (л/ч) 840; Рабочее давление: (бар) 120 Топливный бак, (л) 20 Потребляемая мощность, (кВт) 2.2 Расход топлива, (кг/ч) 5/4; Температура: (°C) 75 Масса, (кг) 180 Размеры ДхШхВ, (мм) 1300x800x1000 Аппарат высокого давления AKVILON S 14/120 с подогревом воды на 220 Вт Профессиональный однофазный аппарат высокого давления экстра-класса от российского производителя. Нагрев воды происходит благодаря встроенному дизельному бойлеру внутреннего сгорания. Управление простое: переключение режимов осуществляется одной рукояткой на передней панели. Промышленные пневматические колеса обеспечивают маневренность на любой поверхности. Возможность изменения мощности и производительности в зависимости от задачи делает аппарат универсальным для различных клининговых работ. Основное преимущество аппаратов с подогревом воды — оперативность и качество очистки. Горячая вода эффективно удаляет жир, масла и другие сложные загрязнения, размягчая и растворяя сухие и затвердевшие пятна. Особенности В этой модели нагрев воды осуществляется с помощью дизельного бойлера внутреннего сгорания. Установлены система контроля температуры выхлопных газов, защита от сухого хода и аварийный клапан от скачка давления. Моечный аппарат высокого давления серии «AKVILON S 14/120» — аппараты высокого давления с подогревом от российского производителя! Преимущества АВД AKVILON S 14/120 с подогревом: Барабан ручной из нержавеющей стали для шланга высокого давления 2SN8 до 100 м (дополнительно). Приспособление для хранения кабеля и струйных трубок, пенных насадок. Пластиковый бак для топлива объемом 20 л с поплавковым датчиком, отключающим топливный насос при недостатке топлива. Топливный фильтр. Профессиональная группа безопасности на дизельный блок подогрева воды: герконовый датчик, дублирующий микровыключатель на отсутствие давления в системе, датчик температуры и аварийный клапан избыточного давления. Возможность нагрева воды до состояния пара. Большие надежные колеса на подшипниках.; Производитель: ность: 14 л/мин.; Рабочее давление: от 20 до 120 бар. Рабочая температура нагрева: 75 °C. Функция задержки воспламенения топлива на 5 секунд (для набора рабочего давления). Индикаторы сети, работы аппарата и аварийный индикатор. Компания Аквилон предоставляет консультации по всем интересующим Вас вопросам! Качественный сервис и быстрая работа! Будем рады сотрудничеству! Доставка по всему миру! 245 000",assets/products/akvilon-s14120-220-4ffb4fee/akvilon-s14120-220-1.jpg|assets/products/akvilon-s14120-220-4ffb4fee/akvilon-s14120-220-2.jpg|assets/products/akvilon-s14120-220-4ffb4fee/akvilon-s14120-220-3.jpg
tor-kpc-h5-2515-d3ac8c69,АВД с подогревом,Аппарат высокого давления TOR KPC-H5 2515 с нагревом воды,0,,380 В (трехфазное) Частота вращения насоса: 1450 об/мин Система обеспечения безопасности: Total Stop Преимущества Мгновенный нагрев: достижение рабочей температуры за 7 минут Оптимизация использования моющих средств: снижение расхода до 50% Комплексная система защиты: Автоматическое отключение при превышении допустимой температуры Предотвращение работы в режиме сухого хода Контроль давления с помощью встроенного датчика Области применения Данный промышленный аппарат высокого давления с функцией нагрева воды демонстрирует исключительную эффективность в следующих сферах: Автомойки самообслуживания Промышленная очистка оборудования и технических узлов Подготовка поверхностей к нанесению лакокрасочных материалов Обслуживание сельскохозяйственной техники Дополнительные компоненты Для полноценной эксплуатации аппарата необходимо приобрести следующие комплектующие: Шланг высокого давления Пистолет для работы под давлением Фильтр для очистки воды Компания предоставляет консультации по всем интересующим Вас вопросам! Качественный сервис и быстрая работа! Будем рады сотрудничеству! Доставка по всему миру!,"Давление: бар ? 200; Производитель: ность, л/мин 15; Производитель: ность, л/ч 900 Потребляемая мощность, кВт 5,5 Двигатель, об/мин 1450 Питание, В 380 Промышленный аппарат высокого давления с функцией нагрева воды и интегрированной системой Total Stop Технические характеристики; Рабочее давление: 200 бар; Производитель: ность: 900 л/ч (15 л/мин); Мощность: нагревательного элемента: 5.5 кВт; Напряжение: питания: 380 В (трехфазное) Частота вращения насоса: 1450 об/мин Система обеспечения безопасности: Total Stop Преимущества Мгновенный нагрев: достижение рабочей температуры за 7 минут Оптимизация использования моющих средств: снижение расхода до 50% Комплексная система защиты: Автоматическое отключение при превышении допустимой температуры Предотвращение работы в режиме сухого хода Контроль давления с помощью встроенного датчика Области применения Данный промышленный аппарат высокого давления с функцией нагрева воды демонстрирует исключительную эффективность в следующих сферах: Автомойки самообслуживания Промышленная очистка оборудования и технических узлов Подготовка поверхностей к нанесению лакокрасочных материалов Обслуживание сельскохозяйственной техники Дополнительные компоненты Для полноценной эксплуатации аппарата необходимо приобрести следующие комплектующие: Шланг высокого давления Пистолет для работы под давлением Фильтр для очистки воды Компания Аквилон предоставляет консультации по всем интересующим Вас вопросам! Качественный сервис и быстрая работа! Будем рады сотрудничеству! Доставка по всему миру! 238 000",assets/products/tor-kpc-h5-2515-d3ac8c69/tor-kpc-h5-2515-1.jpg
aladin-foam-d-1-9280dcbb,Автохимия,ALADIN FOAM D Автошампунь для бесконтактной мойки 1 л,0,AFC0001-3004,"кг 1 Цвет Желтый Объём, л 0.9 Концентрированный бесконтактный автошампунь, разработанный для эффективной мойки разнообразных типов автотранспортных средств, включая грузовой и специализированный транспорт, характеризуется высоким пенообразующим потенциалом и адаптирован для использования в условиях интенсивной эксплуатации. Продукт демонстрирует исключительную эффективность в условиях низких температур, что обуславливает его пригодность для всесезонного применения. Данный шампунь рекомендуется к использованию на мойках самообслуживания, где он обеспечивает оптимальное сочетание производительности и экономичности. Компания предоставляет консультации по всем интересующим Вас вопросам! Качественный сервис и быстрая работа! Будем рады сотрудничеству! Доставка по всему миру!","Артикул: AFC0001-3004; Торговая марка: Daerg Rus; Габаритные размеры: мм 215х80х80; Вес: кг 1 Цвет Желтый Объём, л 0.9 Концентрированный бесконтактный автошампунь, разработанный для эффективной мойки разнообразных типов автотранспортных средств, включая грузовой и специализированный транспорт, характеризуется высоким пенообразующим потенциалом и адаптирован для использования в условиях интенсивной эксплуатации. Продукт демонстрирует исключительную эффективность в условиях низких температур, что обуславливает его пригодность для всесезонного применения. Данный шампунь рекомендуется к использованию на мойках самообслуживания, где он обеспечивает оптимальное сочетание производительности и экономичности. Компания Аквилон предоставляет консультации по всем интересующим Вас вопросам! Качественный сервис и быстрая работа! Будем рады сотрудничеству! Доставка по всему миру!",assets/products/aladin-foam-d-1-9280dcbb/aladin-foam-d-1-1.jpeg
aladin-foam-d-20-17ad5666,Автохимия,ALADIN FOAM D Автошампунь для бесконтактной мойки 20кг,0,AFC0020-3004,"кг 20 Цвет Желтый Объём, л 18 Данный продукт представляет собой концентрированный бесконтактный автошампунь, предназначенный для эффективной мойки широкого спектра автотранспортных средств, включая грузовой и специализированный строительный транспорт. Шампунь характеризуется высоким уровнем пенообразования, что способствует оптимальному удалению загрязнений с поверхности автомобиля. Рекомендуется для использования в условиях моек самообслуживания, а также в условиях низких температур. Продукт демонстрирует высокую эффективность в широком диапазоне температурных режимов, что делает его универсальным решением для различных климатических зон и условий эксплуатации. Компания предоставляет консультации по всем интересующим Вас вопросам! Качественный сервис и быстрая работа! Будем рады сотрудничеству! Доставка по всему миру!","Артикул: AFC0020-3004; Торговая марка: Daerg Rus; Габаритные размеры: мм 350х290х250; Вес: кг 20 Цвет Желтый Объём, л 18 Данный продукт представляет собой концентрированный бесконтактный автошампунь, предназначенный для эффективной мойки широкого спектра автотранспортных средств, включая грузовой и специализированный строительный транспорт. Шампунь характеризуется высоким уровнем пенообразования, что способствует оптимальному удалению загрязнений с поверхности автомобиля. Рекомендуется для использования в условиях моек самообслуживания, а также в условиях низких температур. Продукт демонстрирует высокую эффективность в широком диапазоне температурных режимов, что делает его универсальным решением для различных климатических зон и условий эксплуатации. Компания Аквилон предоставляет консультации по всем интересующим Вас вопросам! Качественный сервис и быстрая работа! Будем рады сотрудничеству! Доставка по всему миру!",assets/products/aladin-foam-d-20-17ad5666/aladin-foam-d-20-1.jpeg
aladin-foam-d-5-fa9d66fb,Автохимия,ALADIN FOAM D Автошампунь для бесконтактной мойки 5 кг,0,AFC0005-3004,"кг 5 Цвет Желтый Объём, л 4.5 Концентрированный бесконтактный автошампунь, разработанный для эффективной мойки разнообразных типов автотранспортных средств, включая грузовой и специализированный транспорт, характеризуется высоким пенообразующим потенциалом и адаптирован для использования в условиях интенсивной эксплуатации. Продукт демонстрирует исключительную эффективность в условиях низких температур, что обуславливает его пригодность для всесезонного применения. Данный шампунь рекомендуется к использованию на мойках самообслуживания, где он обеспечивает оптимальное сочетание производительности и экономичности. Компания предоставляет консультации по всем интересующим Вас вопросам! Качественный сервис и быстрая работа! Будем рады сотрудничеству! Доставка по всему миру!","Артикул: AFC0005-3004; Торговая марка: Daerg Rus; Габаритные размеры: мм 245х185х155; Вес: кг 5 Цвет Желтый Объём, л 4.5 Концентрированный бесконтактный автошампунь, разработанный для эффективной мойки разнообразных типов автотранспортных средств, включая грузовой и специализированный транспорт, характеризуется высоким пенообразующим потенциалом и адаптирован для использования в условиях интенсивной эксплуатации. Продукт демонстрирует исключительную эффективность в условиях низких температур, что обуславливает его пригодность для всесезонного применения. Данный шампунь рекомендуется к использованию на мойках самообслуживания, где он обеспечивает оптимальное сочетание производительности и экономичности. Компания Аквилон предоставляет консультации по всем интересующим Вас вопросам! Качественный сервис и быстрая работа! Будем рады сотрудничеству! Доставка по всему миру!",assets/products/aladin-foam-d-5-fa9d66fb/aladin-foam-d-5-1.jpeg
daerg-ros-1-a174c774,Автохимия,DAERG ROS Автошампунь для бесконтактной мойки 1 л,0,AFC0001-3007,"кг 1 Цвет Красный Объём, л 0.85 Бесконтактный автошампунь, предназначенный для основной фазы мойки, демонстрирует высокую эффективность в удалении различных типов загрязнений с поверхности автомобиля. Его уникальная формула обеспечивает быстрое и полное смывание, минимизируя риск появления разводов и других нежелательных артефактов. Данный продукт оптимизирован для использования в портальных моечных установках и на станциях самообслуживания, что делает его незаменимым инструментом для профессиональных автомоек и автолюбителей. Компания предоставляет консультации по всем интересующим Вас вопросам! Качественный сервис и быстрая работа! Будем рады сотрудничеству! Доставка по всему миру!","Артикул: AFC0001-3007; Торговая марка: Daerg Rus; Габаритные размеры: мм 215х80х80; Вес: кг 1 Цвет Красный Объём, л 0.85 Бесконтактный автошампунь, предназначенный для основной фазы мойки, демонстрирует высокую эффективность в удалении различных типов загрязнений с поверхности автомобиля. Его уникальная формула обеспечивает быстрое и полное смывание, минимизируя риск появления разводов и других нежелательных артефактов. Данный продукт оптимизирован для использования в портальных моечных установках и на станциях самообслуживания, что делает его незаменимым инструментом для профессиональных автомоек и автолюбителей. Компания Аквилон предоставляет консультации по всем интересующим Вас вопросам! Качественный сервис и быстрая работа! Будем рады сотрудничеству! Доставка по всему миру!",assets/products/daerg-ros-1-a174c774/daerg-ros-1-1.jpeg
daerg-ros-20-e996319b,Автохимия,DAERG ROS Автошампунь для бесконтактной мойки 20кг,0,AFC0018-3007,"кг 20 Цвет Зеленый Объём, л 17 Представленный бесконтактный автошампунь, предназначенный для использования на этапе первичной мойки, демонстрирует высокую степень эффективности в удалении загрязнений различного происхождения. Продукт обеспечивает быстрое и полное смывание с кузова автомобиля без образования остаточных разводов, что является ключевым критерием для достижения оптимального уровня чистоты поверхности. Данный автошампунь адаптирован для применения в портальных моечных установках и системах самообслуживания, что позволяет классифицировать его как универсальное решение для профессиональных и бытовых автомоек. Его химическая формула разработана с учетом современных требований к экологичности и безопасности моющих средств, что делает его привлекательным выбором для широкого спектра пользователей. В процессе тестирования продукта было установлено, что он эффективно справляется с различными типами загрязнений, включая масляные пятна, следы насекомых и дорожную пыль. Благодаря инновационной формуле, шампунь обеспечивает равномерное распределение по поверхности кузова, что способствует более эффективному удалению загрязнений и минимизации механического воздействия на лакокрасочное покрытие. Применение бесконтактного автошампуня на этапе основной мойки позволяет существенно сократить время, затрачиваемое на процесс мойки, при этом сохраняя высокое качество результата. Это делает его незаменимым инструментом для профессиональных мойщиков, стремящихся к повышению производительности и оптимизации рабочих процессов. Компания предоставляет консультации по всем интересующим Вас вопросам! Качественный сервис и быстрая работа! Будем рады сотрудничеству! Доставка по всему миру!","Артикул: AFC0018-3007; Торговая марка: Daerg Rus; Габаритные размеры: мм 350х290х250; Вес: кг 20 Цвет Зеленый Объём, л 17 Представленный бесконтактный автошампунь, предназначенный для использования на этапе первичной мойки, демонстрирует высокую степень эффективности в удалении загрязнений различного происхождения. Продукт обеспечивает быстрое и полное смывание с кузова автомобиля без образования остаточных разводов, что является ключевым критерием для достижения оптимального уровня чистоты поверхности. Данный автошампунь адаптирован для применения в портальных моечных установках и системах самообслуживания, что позволяет классифицировать его как универсальное решение для профессиональных и бытовых автомоек. Его химическая формула разработана с учетом современных требований к экологичности и безопасности моющих средств, что делает его привлекательным выбором для широкого спектра пользователей. В процессе тестирования продукта было установлено, что он эффективно справляется с различными типами загрязнений, включая масляные пятна, следы насекомых и дорожную пыль. Благодаря инновационной формуле, шампунь обеспечивает равномерное распределение по поверхности кузова, что способствует более эффективному удалению загрязнений и минимизации механического воздействия на лакокрасочное покрытие. Применение бесконтактного автошампуня на этапе основной мойки позволяет существенно сократить время, затрачиваемое на процесс мойки, при этом сохраняя высокое качество результата. Это делает его незаменимым инструментом для профессиональных мойщиков, стремящихся к повышению производительности и оптимизации рабочих процессов. Компания Аквилон предоставляет консультации по всем интересующим Вас вопросам! Качественный сервис и быстрая работа! Будем рады сотрудничеству! Доставка по всему миру!",assets/products/daerg-ros-20-e996319b/daerg-ros-20-1.jpeg
daerg-ros-5-5-849e3ea8,Автохимия,DAERG ROS Автошампунь для бесконтактной мойки 5.5 кг,0,AFC0005-3007,"кг 5.5 Цвет Зеленый Объём, л 5 Концентрированный бесконтактный автошампунь, разработанный для эффективной мойки разнообразных типов автотранспортных средств, включая грузовой и специализированный транспорт, характеризуется высоким пенообразующим потенциалом и адаптирован для использования в условиях интенсивной эксплуатации. Продукт демонстрирует исключительную эффективность в условиях низких температур, что обуславливает его пригодность для всесезонного применения. Данный шампунь рекомендуется к использованию на мойках самообслуживания, где он обеспечивает оптимальное сочетание производительности и экономичности. Компания предоставляет консультации по всем интересующим Вас вопросам! Качественный сервис и быстрая работа! Будем рады сотрудничеству! Доставка по всему миру!","Артикул: AFC0005-3007; Торговая марка: Daerg Rus; Вес: кг 5.5 Цвет Зеленый Объём, л 5 Концентрированный бесконтактный автошампунь, разработанный для эффективной мойки разнообразных типов автотранспортных средств, включая грузовой и специализированный транспорт, характеризуется высоким пенообразующим потенциалом и адаптирован для использования в условиях интенсивной эксплуатации. Продукт демонстрирует исключительную эффективность в условиях низких температур, что обуславливает его пригодность для всесезонного применения. Данный шампунь рекомендуется к использованию на мойках самообслуживания, где он обеспечивает оптимальное сочетание производительности и экономичности. Компания Аквилон предоставляет консультации по всем интересующим Вас вопросам! Качественный сервис и быстрая работа! Будем рады сотрудничеству! Доставка по всему миру!",assets/products/daerg-ros-5-5-849e3ea8/daerg-ros-5-5-1.jpeg
